True,Predicted
0.18142813361936871,0.15698797
0.1691694759423843,0.1432769
0.18142813361936871,0.14794038
0.17775053631627336,0.16397184
0.13300643579528038,0.1502379
0.11737664725712538,0.09328517
0.08182653999387068,0.076665096
0.08550413729696604,0.034361973
0.08213300643579524,0.0036697085
0.06221268771069566,0.001235995
0.060986821942997316,-0.008068392
0.08121360711002146,-0.01565966
0.06772908366533859,-0.0026887334
0.08274593931964447,0.01216151
0.07079374808458483,0.04294193
0.03585657370517925,0.06055951
0.028501379098988644,0.05058672
0.04259883542752063,0.022894379
0.06343855347839411,0.0017638281
0.06956788231688626,0.0045873127
0.07079374808458483,0.035269722
0.06650321789764024,0.07189724
0.05179282868525892,0.09852375
0.05884155684952497,0.09893438
0.06405148636224334,0.10038308
0.07447134538767997,0.11542428
0.05332516089488204,0.14401668
0.057615691081826625,0.16320923
0.0536316273368066,0.17705037
0.03125957707631011,0.1890952
0.03279190928593312,0.16403773
0.03279190928593312,0.120540164
0.048728164266012786,0.09869294
0.047195832056389886,0.10783068
0.10297272448666872,0.12008428
0.11155378486055778,0.11641884
0.11431198283787924,0.08322197
0.10542445602206563,0.08989998
0.08274593931964447,0.096624136
0.06619675145571557,0.096041426
0.0511798958014098,0.10617597
0.04964756359178668,0.11150362
0.057615691081826625,0.108192325
0.03984063745019917,0.086862475
0.03830830524057616,0.06449293
0.03555010726325469,0.048804145
0.04658289917254055,0.036243618
0.03830830524057616,0.045592017
0.029727244866687097,0.05409757
0.05026049647563591,0.06081385
0.08703646950658894,0.0794993
0.13331290223720504,0.06645996
0.1838798651547655,0.060219496
0.16763714373276128,0.07865764
0.2837879252221882,0.10745962
0.2326080294207784,0.15024686
0.24394728777198904,0.20248035
0.20655838185718667,0.21296413
0.1881703953417101,0.19603787
0.14894269077536004,0.17482163
0.16518541219736438,0.13059384
0.15200735519460618,0.11051095
0.1716212074777812,0.08708164
0.14128102972724488,0.06885387
0.09806926141587491,0.048925705
0.08213300643579524,0.024079168
0.08029420778424767,0.033496007
0.07692307692307698,0.035466272
0.05516395954642961,0.040692825
0.050566962917560576,0.032957915
0.07814894269077532,0.025004353
0.1707018081520073,0.041419417
0.18142813361936871,0.03760454
0.23168863009500462,0.03462514
0.23873735825927067,0.050576754
0.18357339871284095,0.08505028
0.17866993564204725,0.09748637
0.18786392889978554,0.091928616
0.18663806313208697,0.08872247
0.18602513024823786,0.089323245
0.16212074777811836,0.0940885
0.1682500766166105,0.091990486
0.1403616304014711,0.09178583
0.1403616304014711,0.08960229
0.12013484523444684,0.09876649
0.1179895801409746,0.09471043
0.13178057002758203,0.09886449
0.05271222801103281,0.06304424
0.04413116763714375,0.012846695
0.0,0.012806188
0.10419859025436717,-0.024507534
0.0536316273368066,-0.01382982
0.04934109714986201,-0.022602143
0.0668096843395648,-0.018227693
