True,Predicted
0.73770300268723,0.6823317
0.7135179343381235,0.6783019
0.7553841959730498,0.6625516
0.7843595435603847,0.66424984
0.800950266775714,0.6861269
0.8703119523308798,0.7107949
0.5871402422401368,0.7674061
0.5948903688125557,0.7538153
0.5606573976710676,0.70136625
0.5483117186587219,0.6232993
0.5745608910698288,0.5705578
0.573275694201036,0.53815573
0.559839545118199,0.5118142
0.6137009775285274,0.47974318
0.5738209292362815,0.47818887
0.50590022198855,0.46539995
0.5016941231452274,0.4457534
0.4971375160649609,0.44742015
0.4986953304513766,0.4391686
0.5282159130739574,0.42724442
0.5113136269813452,0.41834295
0.4921914553880906,0.3985172
0.47595124040970527,0.38164812
0.4705767807765706,0.36776638
0.4604120419052069,0.3580528
0.5030961560930014,0.35682726
0.531720995443393,0.3656965
0.47937843205982,0.3747283
0.5353818592514703,0.3706833
0.4985395490127351,0.38719872
0.4786384702262725,0.37466776
0.4900494606067687,0.34570622
0.5555945009152159,0.32700303
0.5891654009424776,0.37193346
0.6315768976126497,0.44266897
0.6434552323090703,0.51749283
0.7016785450013632,0.57745844
0.7283171710090743,0.63793844
0.7074814035907624,0.69909203
0.5693811582349964,0.7170741
0.6293180667523466,0.6753342
0.577092339447755,0.6410876
0.6302527553841959,0.6023326
0.6268255637340812,0.5816024
0.6064571406316939,0.5816495
0.6205943061884176,0.5514949
0.6382754994742375,0.5228316
0.656813490672586,0.5217635
0.6281497059625349,0.54341763
0.6496085991354132,0.54891723
0.6410795653697863,0.5518874
0.5654087315496359,0.5461182
0.6377692097986525,0.51783055
0.6153366826342641,0.5291309
0.6249561864703821,0.5224902
0.5314094325661098,0.52967095
0.504108735444172,0.5067342
0.42960626241383326,0.45513403
0.4110682712154847,0.41833365
0.3638275499474237,0.4064465
0.41254819488257977,0.40475002
0.35120925341745535,0.41575176
0.36121821085017713,0.40382284
0.30661681660630125,0.40608436
0.31522374109124907,0.4000157
0.3249211356466877,0.41991225
0.31623632044241945,0.43019372
0.33629318066752356,0.42864978
0.25439108930170984,0.4317129
0.25762355415352256,0.42211732
0.2645558281730731,0.4252314
0.2494450286248393,0.43306786
0.31818358842543915,0.4314433
0.3465358102582077,0.4476428
0.32503797172566884,0.48422962
0.3339564590878996,0.49926704
0.3328270436577483,0.50398093
0.3274136386649531,0.5099988
0.3631265334735365,0.51758283
0.36102348405187534,0.52299005
0.3324765354208046,0.5288865
0.31818358842543915,0.4969523
0.2859368306266308,0.44600832
0.2504965533356702,0.38560706
0.27810881333489124,0.3412208
0.2882735522062547,0.31920898
0.2073061494722903,0.30614054
0.09191104879853573,0.3006014
0.063753553764069,0.29842854
0.06644078358063621,0.32446253
0.24991237294076396,0.34028602
0.1649725435214393,0.41575915
0.22074229855512706,0.41920117
0.22374109124897767,0.42533538
