True,Predicted
0.6408096068177416,0.6193356
0.6427464652333914,0.6297775
0.6395506488475693,0.635603
0.6636645361224094,0.6414828
0.6640519078055396,0.6502043
0.693782684485764,0.6481922
0.6765446445864807,0.64914674
0.6976564013170639,0.64724207
0.7035638194847955,0.6500012
0.7948866937826844,0.6604664
0.89347278713926,0.71132785
0.8636451675382528,0.8237849
0.8418555103621925,0.9033026
0.9075150106527212,0.9158515
0.8974433468913423,0.9605145
0.8299438311059462,0.9959059
0.8255858996707339,0.95762885
0.857156691845826,0.9374512
0.8865000968429209,0.9361254
0.9018012783265541,0.965798
0.8972496610497771,0.9923498
0.8676157272903349,0.992724
0.8545419329846988,0.9676067
0.8327522758086383,0.9559381
0.8345922913035055,0.93571424
0.8588030214991282,0.91980356
0.9055781522370714,0.92450523
0.89347278713926,0.9488875
0.8806895215959711,0.9471759
0.8591903931822582,0.92673916
0.8506682161533992,0.90491563
0.8386596939763704,0.8968826
0.8960875460003872,0.89958125
0.8711989153592872,0.9211618
0.9016075924849893,0.9225952
0.9217509200077474,0.9255109
0.925624636839047,0.941783
0.921266705403835,0.9454161
0.9437342630253729,0.94619685
0.8650009684292079,0.97036016
0.8969591322874297,0.94404495
0.8980244044160373,0.9581631
0.9508037962424947,0.98068064
0.9795661437148944,1.0084779
0.950900639163277,1.0335039
1.0,1.0278356
0.8604493511524307,1.0419904
0.8605461940732133,0.9830938
0.8007941119504163,0.9438519
0.8110594615533604,0.88904744
0.800116211504939,0.86244243
0.7842339724966105,0.83942074
0.8079604880883207,0.8091807
0.7981793530892891,0.7955193
0.7878171605655626,0.7836242
0.8006972690296339,0.7700121
0.7959519659112917,0.7591188
0.7469494479953516,0.7539633
0.7431725740848343,0.7347351
0.7061785783459229,0.7121648
0.6803215184969977,0.6888724
0.6368390470656595,0.6591056
0.65630447414294,0.6381113
0.6218283943443734,0.6323481
0.6600813480534573,0.64219373
0.6831299631996901,0.65132105
0.6755762153786558,0.6705315
0.6904900251791593,0.6757013
0.6135967460778617,0.66904944
0.5958744915746657,0.6520029
0.6251210536509781,0.60836345
0.5837691264768543,0.6037021
0.6117567305829943,0.6109849
0.6015882239008328,0.60592616
0.5638194847956612,0.61262757
0.5987797791981406,0.6003881
0.5868680999418943,0.59075254
0.598489250435793,0.599215
0.6341274452837498,0.5940103
0.6618245206275419,0.59801924
0.6071082703854347,0.62969095
0.5774743366259927,0.634604
0.499806314158435,0.59081256
0.5014526438117373,0.544535
0.5271160178190972,0.50798434
0.5269223319775325,0.5143907
0.4665891923300405,0.52587765
0.4192330040674028,0.51976657
0.43375944218477636,0.4990649
0.4079992252566338,0.49941838
0.5482277745496804,0.52019066
0.4931241526244432,0.56919354
0.532151849699787,0.6188881
0.5521983343017625,0.57092506
