股票名称,MAE,MSE,MAPE
600519.SH,0.01179645647353282,0.00029755585108766765,1.7197372788694827
601398.SH,0.007569383048503556,0.00012223586853277396,2.5029995239380782
601288.SH,0.014812131793122433,0.00048141490423268585,3.2596896280452348
601857.SH,0.003303389991790995,2.0824633765780828e-05,6.8749077614729215
601988.SH,0.0065048371015928525,0.0001033664196835528,2.8685306059188864
601628.SH,0.008472024215255258,0.00014605856061434134,2.773670962246083
600036.SH,0.013774702986471609,0.0003530086338151094,2.084866513177588
601088.SH,0.006405796707706128,7.594558040107413e-05,3.3383987954772216
600900.SH,0.014972307634113153,0.0003898009436599695,2.1509447907763914
601318.SH,0.006912462577426105,8.039229135136733e-05,3.2831544190159816
600028.SH,0.003028698479611058,1.6322047800402102e-05,5.045997173398404
600030.SH,0.0035173832577137226,2.3010852550031265e-05,2.1706490913785004
601166.SH,0.004671357583447111,3.943215427420372e-05,3.003478471498488
601658.SH,0.03227013056739561,0.001589563595981665,8.971390771468819
601899.SH,0.022240417134828452,0.0008656220210850233,3.899884885686717
600276.SH,0.015082665994136405,0.0004028954541597429,4.17569548515744
601328.SH,0.004093709144386018,3.8343355946811795e-05,3.203507270428011
600809.SH,0.019532049619707535,0.0009128221633549297,3.353277295774839
603288.SH,0.006002636490680889,7.23746513977785e-05,5.865718025063908
601668.SH,0.008535415175561754,0.00013956803834881053,2.8556826863717055
