股票名称,MAE,MSE,MAPE
600519.SH,0.011071806947203645,0.00024002309215592166,1.6224142243039517
601398.SH,0.007122709935697708,0.00011180385523308589,2.385026429525134
601288.SH,0.01141432588669094,0.0002944542862578825,2.6262717625445613
601857.SH,0.0030515388502936626,1.8585464966429903e-05,6.001804065044401
601988.SH,0.006464197431800009,9.618969512407332e-05,2.8744949536758684
601628.SH,0.008399930505237062,0.00014135805747347255,2.754885145700762
600036.SH,0.013103519375354233,0.00030627565219020717,2.051691443214685
601088.SH,0.0060420179262862484,6.891643534970991e-05,3.18033497757063
600900.SH,0.008413692698436843,0.0001340161805147365,1.2439217849225361
601318.SH,0.005917743561474613,7.173856358134335e-05,2.7809474210648277
600028.SH,0.002954475277456054,1.589147761409524e-05,4.893173095669669
600030.SH,0.0031336788889492827,1.9298805255337004e-05,1.9536834321420666
601166.SH,0.00436266857282891,3.516196562969802e-05,2.7853605381777267
601658.SH,0.022637666863513088,0.0009500026650698106,6.0084339267606115
601899.SH,0.014395079329290197,0.0003589646623063934,2.488853106925528
600276.SH,0.01044031927799299,0.00022986488185657117,3.030589700571146
601328.SH,0.004068776630019717,3.55690082963358e-05,3.1801285462138105
600809.SH,0.014055863995640567,0.0004770893464393103,2.5144484754976935
603288.SH,0.007548210046420866,9.906711396453463e-05,9.209686544956808
601668.SH,0.008584580705655565,0.00014350798030165557,2.8681158766632886
