股票名称,MAE,MSE,MAPE
600519.SH,0.012167950363902322,0.00027973194287854154,1.7865325916745112
601398.SH,0.00848094244433572,0.0001421002106347415,2.9307216651407697
601288.SH,0.012463014086995992,0.00033952534509878394,2.9024825055555934
601857.SH,0.004670880263673191,3.940665413692553e-05,9.806026283108329
601988.SH,0.008619341960969994,0.00014880147098272212,4.48071897665473
601628.SH,0.009316124458160917,0.00017374326406439914,3.063001059038197
600036.SH,0.014170909767532052,0.00036937751253657606,2.175505040507687
601088.SH,0.014861347653351682,0.00045214581942343323,6.37225383182336
600900.SH,0.009219774776873607,0.00015675693753795005,1.3708890705447754
601318.SH,0.011195320868970297,0.00019435277668827285,5.595000742301448
600028.SH,0.0036948250068912186,2.2904814730326447e-05,6.045587351281833
600030.SH,0.004013157083187835,2.8877618872021766e-05,2.5060528808329847
601166.SH,0.004917604234076275,4.265114847126034e-05,3.2483105041711355
601658.SH,0.04299773998067262,0.0027719421398217227,13.255713225279386
601899.SH,0.016158045938064792,0.0004203692326435246,2.937506010183644
600276.SH,0.01614808144524692,0.000417756517365538,4.788143385742889
601328.SH,0.005560766086513775,5.799457475184893e-05,4.772272675555982
600809.SH,0.015014551950201079,0.0005428344277208933,2.656462121129728
603288.SH,0.010240431628042716,0.000208459224764441,11.914389704782874
601668.SH,0.009346457583984455,0.0001581389511583823,3.1772475199199026
