股票名称,MAE,MSE,MAPE
600519.SH,0.014105767972455356,0.00042381721409886635,2.0611692127950882
601398.SH,0.007844040081500744,0.00012736687778395898,2.656438902825297
601288.SH,0.014614996157069817,0.00047673748331037135,3.1340407002752078
601857.SH,0.0035221549071630135,2.3176747482778107e-05,7.549193913639206
601988.SH,0.006940180223451889,0.00010633599957396264,3.181954266841068
601628.SH,0.009337449325379462,0.000166977009255862,3.108299094457567
600036.SH,0.013845821037191803,0.0003332876763609412,2.174889081999958
601088.SH,0.007837151188742557,0.00010528138608772144,3.9940911659677685
600900.SH,0.015306935722983776,0.00039658557071586744,2.2250989460842385
601318.SH,0.007405374590073749,9.53668931910033e-05,3.5419541589079833
600028.SH,0.0031553179490921546,1.73590935212198e-05,5.340407953894802
600030.SH,0.004129174903099382,3.0263773268111504e-05,2.5823142720194587
601166.SH,0.005326813225898332,4.8061841151162625e-05,3.4735625189691075
601658.SH,0.033954145431023,0.0017589048575030297,9.388030446415884
601899.SH,0.021351094898149008,0.0008087705581820581,3.6203932418212013
600276.SH,0.01592109378413037,0.0004282503537729012,4.54946887322472
601328.SH,0.00420222843879432,3.955353789764143e-05,3.293688614724229
600809.SH,0.02457816586752615,0.0014596842616137755,4.235383201624359
603288.SH,0.006045818907573372,7.312893925353409e-05,6.086763590792325
601668.SH,0.00898171192709461,0.00015699101562164454,3.0090700614808794
