True,Predicted
0.633854108512484,0.6218896
0.6120811825232544,0.6176457
0.6224308376778982,0.61765504
0.6414553075264753,0.61540604
0.6484982263868968,0.61351365
0.6588478815415404,0.6098806
0.6584613798967611,0.618475
0.6973692121378694,0.6222211
0.6948354791332056,0.6435915
0.6642159599412518,0.6570371
0.7131298903194221,0.64190793
0.7022219550112085,0.64842695
0.891779539461818,0.6562984
1.0,0.73744637
0.9580430992278555,0.8225806
0.8867120734524903,0.8569596
0.8639514210377139,0.82895
0.8745587439555436,0.7901798
0.9242027329960747,0.7896222
0.9556811447319826,0.7838392
0.9800736929802711,0.80266863
0.9645706825619045,0.8330578
0.9380738475809292,0.8490065
0.9220125570089925,0.83750015
0.9226137817897602,0.82184565
0.9250616255400288,0.823303
0.9416382516383375,0.8225508
0.9082702763057313,0.82866997
0.9111475663279767,0.8141154
0.889675252729131,0.7945807
0.8938838261945048,0.77560127
0.891350093189841,0.76757234
0.9055218201650792,0.7730041
0.9115770125999536,0.78442657
0.9460615482396997,0.80396616
0.9583866562454371,0.81497264
0.9609633338772985,0.83048713
0.958257822363844,0.8456167
0.9772393475852235,0.8342266
0.7944240696046516,0.8452183
0.8168841096290442,0.8084253
0.8125467022820774,0.75651747
0.8525281502031281,0.7422124
0.8766200860610329,0.75383365
0.8614176880330502,0.77466136
0.8816016628159651,0.7919179
0.9226996710441557,0.80787975
0.9199512149035034,0.83662874
0.8920801518522017,0.8554977
0.9357548377122538,0.8557021
0.9357548377122538,0.8559257
0.9413805838751512,0.8642313
0.9390186293792784,0.8714563
0.9271659122727154,0.87827104
0.9077978854065567,0.876961
0.9086567779505106,0.86603546
0.9001107971381701,0.8618401
0.8654115383624355,0.8642112
0.8193319533793126,0.87205803
0.796184799319757,0.86872864
0.840847211605356,0.8512772
0.7758290460280515,0.8329604
0.7828290202612751,0.8282506
0.7310377998608595,0.8176218
0.7315101907600339,0.8083203
0.7491174879110876,0.7971586
0.6970256551202878,0.78499204
0.7636327719039071,0.7763349
0.7184979687191335,0.7618937
0.7427187384586313,0.7463629
0.7604978141184755,0.7383964
0.7481727061127383,0.73780656
0.7661235602813732,0.7382251
0.7616573190528133,0.74030906
0.7366206013965593,0.74025846
0.7662523941629662,0.7337657
0.7446512466825275,0.72654843
0.7494610449286689,0.71935445
0.7477003152135635,0.71606046
0.7348598716814538,0.7140012
0.6962526518307295,0.71145535
0.6649889632308101,0.7079311
0.6526638552250728,0.6994251
0.6454062132286629,0.68592995
0.6500871775932113,0.6740917
0.6654184095027871,0.66350055
0.5877745235293612,0.65413356
0.5546212713327434,0.6520932
0.5883328036829312,0.655133
0.5964493382232949,0.64415324
0.7215040926229719,0.63680506
0.6663202466739386,0.6321226
0.707718867292513,0.63119197
0.6923446907557396,0.6390229
