股票名称,MAE,MSE,MAPE
600519.SH,0.011823784691452352,0.0002881433827426847,1.727880773269543
601398.SH,0.007572812024049275,0.00011979106385402212,2.567870846891502
601288.SH,0.011790030106095289,0.00030776805913139204,2.700763890070692
601857.SH,0.0036131446594053836,2.5068495181858816e-05,7.3809421206577674
601988.SH,0.006442033361355969,9.93345384127342e-05,2.822432738680356
601628.SH,0.008723449868592293,0.0001503814805727183,2.8610826189831746
600036.SH,0.012735506455381636,0.00030102210280758386,1.964413308255317
601088.SH,0.007374634774411938,9.647492746801856e-05,3.7547078011889825
600900.SH,0.008595090555802433,0.00014318961659201765,1.2655553592279363
601318.SH,0.0060275812421951725,6.689394034017926e-05,2.839147534188604
600028.SH,0.0030338064046421718,1.678377367875279e-05,4.955785188487183
600030.SH,0.003378547089747909,2.1815835653419838e-05,2.0932312312995616
601166.SH,0.004489477979558695,3.881820098982459e-05,2.8699135951961705
601658.SH,0.023513208802769577,0.0009583027301791005,6.24787736898869
601899.SH,0.013115608099927822,0.00031037152118995224,2.2595051117896805
600276.SH,0.011978295223287088,0.0002666022190062057,3.3920295504743825
601328.SH,0.004084474486556279,3.725529578332995e-05,3.0580774256042855
600809.SH,0.01715505396733161,0.0007794441074930579,3.01476081055233
603288.SH,0.005418660163090983,6.070331128320588e-05,5.343661544684949
601668.SH,0.008694971071471724,0.00014490289510322936,2.9107575456583556
