股票名称,MAE,MSE,MAPE
600519.SH,0.011928613701795092,0.0002828576451087765,1.7527337192402608
601398.SH,0.007297156532310651,0.0001137203327136082,2.4424779068882834
601288.SH,0.01150574515532765,0.0002992631067852421,2.634753620933164
601857.SH,0.003143038362790884,1.8803467882084706e-05,6.549141401785328
601988.SH,0.006753525622711001,0.00010358404691411924,3.0486490969698754
601628.SH,0.008725816043590032,0.0001503404823088201,2.8858028146637698
600036.SH,0.012885297971644097,0.0003099738708004812,1.991102115439913
601088.SH,0.006409827907730471,7.549081444042941e-05,3.3017895309848297
600900.SH,0.008480072541795218,0.00013049400565976263,1.2615232864966153
601318.SH,0.005652740359205027,6.823192505511956e-05,2.6537507474692004
600028.SH,0.0029438005319062472,1.6130730848423575e-05,4.746018381220746
600030.SH,0.0034174309921723802,2.277022436434684e-05,2.1413943358543164
601166.SH,0.004310400515578185,3.462144846651412e-05,2.754813971568714
601658.SH,0.023476655847755667,0.0009848772601854722,6.16039431620871
601899.SH,0.015867773741700397,0.00041601873388720756,2.798697855585201
600276.SH,0.01189177516194834,0.0002915625374184693,3.4833500014033008
601328.SH,0.0042149208513901784,3.68998594775674e-05,3.4262483782451176
600809.SH,0.017238498225251617,0.000750330733109172,3.069978741366638
603288.SH,0.00708397122736333,9.087192150794485e-05,8.502455622331077
601668.SH,0.00874116366092184,0.00014893255415935008,2.9192015255376695
