Date,price,ret,log_ret
2021-01-04,126.0965805053711,0.0,0.0
2021-01-05,127.65560913085938,0.012363766085011996,0.012287958930819774
2021-01-06,123.35852813720703,-0.03366151337108436,-0.034241105908472395
2021-01-07,127.56793212890625,0.03412333184631766,0.03355404542048329
2021-01-08,128.66900634765625,0.008631277472126664,0.008594240959087214
2021-01-11,125.67757415771484,-0.023249050216947564,-0.023523572656283263
2021-01-12,125.50218963623047,-0.0013955116707160542,-0.0013964863039745237
2021-01-13,127.53871154785156,0.01622698311100379,0.0160967327781336
2021-01-14,125.60939025878906,-0.015127338716595329,-0.01524292405202255
2021-01-15,123.88470458984375,-0.013730547257589598,-0.01382568306989032
2021-01-19,124.55702209472656,0.00542696135982812,0.0054122884672362145
2021-01-20,128.6494598388672,0.03285593758839456,0.03232772018781358
2021-01-21,133.36553955078125,0.03665837165442376,0.03600243587149303
2021-01-22,135.50924682617188,0.016073921963734694,0.01594610434788856
2021-01-25,139.26068115234375,0.027683972968900905,0.027307700479024095
2021-01-26,139.49453735351562,0.0016792694049516665,0.0016778610085819718
2021-01-27,138.4227294921875,-0.007683511352217898,-0.007713181604427347
2021-01-28,133.57997131347656,-0.03498528165480408,-0.035611925588276826
2021-01-29,128.58128356933594,-0.037420937397942944,-0.03813907323057006
2021-02-01,130.70547485351562,0.016520221491133524,0.016385247140863955
2021-02-02,131.53370666503906,0.006336626774445797,0.0063166347651610185
2021-02-03,130.51060485839844,-0.007778248120430709,-0.007808656477473482
2021-02-04,133.87225341796875,0.02575766592467832,0.02543152579473593
2021-02-05,133.45750427246094,-0.003098096393528982,-0.003102905429300284
2021-02-08,133.60389709472656,0.0010969246207899186,0.0010963234385722915
2021-02-09,132.7256317138672,-0.0065736509185557734,-0.0065953525198723904
2021-02-10,132.12059020996094,-0.004558588240217265,-0.004569010288869575
2021-02-11,131.86688232421875,-0.0019202751466596002,-0.0019221212386940501
2021-02-12,132.10107421875,0.0017759720287877645,0.001774396855164692
2021-02-16,129.9737091064453,-0.016104071256694885,-0.016235150995484945
2021-02-17,127.68048858642578,-0.01764372607187381,-0.017801232017815763
2021-02-18,126.5777816772461,-0.008636455901664841,-0.008673966213862115
2021-02-19,126.7339096069336,0.001233454462692407,0.0012326943826884858
2021-02-22,122.95735168457031,-0.029799111651146126,-0.030252127536670063
2021-02-23,122.82071685791016,-0.0011112375534134689,-0.0011118554356485694
2021-02-24,122.32305908203125,-0.0040519041787928645,-0.004060135384759167
2021-02-25,118.068359375,-0.034782482869219256,-0.035401796690205635
2021-02-26,118.33180236816406,0.002231275123653953,0.002228789525996711
2021-03-01,124.70413970947266,0.05385143481109522,0.052451486494602705
2021-03-02,122.09860229492188,-0.020893752369576357,-0.02111511564928871
2021-03-03,119.11249542236328,-0.024456519701559154,-0.024760547591999603
2021-03-04,117.22909545898438,-0.015811942791564615,-0.015938285140815207
2021-03-05,118.48795318603516,0.01073844101689958,0.01068119342774102
2021-03-08,113.55014038085938,-0.04167354294172876,-0.04256678968808116
2021-03-09,118.1659164428711,0.04064967288045529,0.03984520358051369
2021-03-10,117.08272552490234,-0.009166695021507576,-0.009208967702475177
2021-03-11,119.01490783691406,0.016502710398561327,0.016368020485622685
2021-03-12,118.10736846923828,-0.0076254259585646356,-0.007654648168406184
2021-03-15,120.99590301513672,0.024456852974848564,0.024162572607261706
2021-03-16,122.53773498535156,0.012742844441782086,0.012662337602270651
2021-03-17,121.747314453125,-0.006450425514402114,-0.006471319407190863
2021-03-18,117.61943817138672,-0.03390527585992531,-0.0344933914609825
2021-03-19,117.09246826171875,-0.004480296096127434,-0.004490362701516681
2021-03-22,120.41038513183594,0.02833586924396503,0.027941834725712957
2021-03-23,119.58091735839844,-0.00688867303704177,-0.006912509475842039
2021-03-24,117.19007110595703,-0.019993543328286623,-0.020196118898699274
2021-03-25,117.677978515625,0.004163385217394566,0.004154742310024296
2021-03-26,118.28302001953125,0.005141501507233359,0.005128329119633779
2021-03-29,118.45867919921875,0.0014850752006374535,0.0014839735669993394
2021-03-30,117.0046615600586,-0.01227447114039526,-0.0123504246271411
2021-03-31,119.20032501220703,0.018765606625180453,0.018591704842275007
2021-04-01,120.02980041503906,0.006958667291780296,0.006934567503553851
2021-04-05,122.85977172851562,0.023577239183028675,0.023303589009993013
2021-04-06,123.16227722167969,0.0024622013284585353,0.0024591750772428684
2021-04-07,124.81148529052734,0.013390529194903245,0.013301668441602387
2021-04-08,127.21208190917969,0.019233779752435565,0.019051148685703
2021-04-09,129.788330078125,0.020251599771667683,0.02004926332182599
2021-04-12,128.07081604003906,-0.013233193131093501,-0.013321532034036191
2021-04-13,131.18377685546875,0.02430655875930765,0.024015855602311585
2021-04-14,128.84176635742188,-0.01785289731844797,-0.018014182781713763
2021-04-15,131.25209045410156,0.018707630024204835,0.018534794547750984
2021-04-16,130.9202880859375,-0.0025279777793717484,-0.002531178510587755
2021-04-19,131.58387756347656,0.005068652744664615,0.005055850366657082
2021-04-20,129.8956756591797,-0.012829853744676933,-0.012912867115542657
2021-04-21,130.27626037597656,0.0029299259953461387,0.0029256421277472086
2021-04-22,128.75392150878906,-0.011685466429524727,-0.01175427808182249
2021-04-23,131.0764617919922,0.018038598405288875,0.017877833328292073
2021-04-26,131.46678161621094,0.0029778025656364004,0.0029733776936634927
2021-04-27,131.144775390625,-0.0024493352741071783,-0.0024523398028178
2021-04-28,130.35430908203125,-0.006027432707397473,-0.006045671003583584
2021-04-29,130.25669860839844,-0.0007488089524634312,-0.0007490894499218224
